"TIME","GEO","ISCED11","AGE","SEX","LEVELS","UNIT","Value","Flag and Footnotes"
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","22.3",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","45.9",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","68.3",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","22.6",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","7.4",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.7",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","9.2",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage",":",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage",":",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage",":",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage",":",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage",":",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage",":",""
"2008","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage",":",""
"2008","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage",":",""
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","22.3",""
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","45.9",""
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","68.3",""
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","22.6",""
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","7.4",""
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.7",""
